sample_accession	run_accession	scientific_name	fastq_ftp	fastq_aspera	sample_alias
SAMEA4659287	ERR2576421	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576421/ERR2576421.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576421/ERR2576421.fastq.gz	E-MTAB-6769:1472sTS.Chicken.Heart.12.Male
SAMEA4659299	ERR2576433	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576433/ERR2576433.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576433/ERR2576433.fastq.gz	E-MTAB-6769:1614sTS.Chicken.Heart.14.Female
SAMEA4659293	ERR2576427	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576427/ERR2576427.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576427/ERR2576427.fastq.gz	E-MTAB-6769:1365sTS.Chicken.Testis.12.Male
SAMEA4659306	ERR2576440	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576440/ERR2576440.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576440/ERR2576440.fastq.gz	E-MTAB-6769:1338sTS.Chicken.Brain.14.Male
SAMEA4659301	ERR2576435	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576435/ERR2576435.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576435/ERR2576435.fastq.gz	E-MTAB-6769:1615sTS.Chicken.Kidney.14.Female
SAMEA4659307	ERR2576441	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576441/ERR2576441.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576441/ERR2576441.fastq.gz	E-MTAB-6769:1546sTS.Chicken.Brain.14.Male
SAMEA4659304	ERR2576438	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576438/ERR2576438.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576438/ERR2576438.fastq.gz	E-MTAB-6769:1421sTS.Chicken.Ovary.14.Female
SAMEA4659308	ERR2576442	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576442/ERR2576442.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576442/ERR2576442.fastq.gz	E-MTAB-6769:1339sTS.Chicken.Cerebellum.14.Male
SAMEA4659309	ERR2576443	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576443/ERR2576443.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576443/ERR2576443.fastq.gz	E-MTAB-6769:1547sTS.Chicken.Cerebellum.14.Male
SAMEA4659312	ERR2576446	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576446/ERR2576446.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576446/ERR2576446.fastq.gz	E-MTAB-6769:1341sTS.Chicken.Kidney.14.Male
SAMEA4659314	ERR2576448	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576448/ERR2576448.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576448/ERR2576448.fastq.gz	E-MTAB-6769:1342sTS.Chicken.Liver.14.Male
SAMEA4659313	ERR2576447	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576447/ERR2576447.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576447/ERR2576447.fastq.gz	E-MTAB-6769:1549sTS.Chicken.Kidney.14.Male
SAMEA4659317	ERR2576451	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576451/ERR2576451.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576451/ERR2576451.fastq.gz	E-MTAB-6769:3917sTS.Chicken.Testis.14.Male
SAMEA4659315	ERR2576449	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576449/ERR2576449.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576449/ERR2576449.fastq.gz	E-MTAB-6769:1550sTS.Chicken.Liver.14.Male
SAMEA4659321	ERR2576455	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576455/ERR2576455.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576455/ERR2576455.fastq.gz	E-MTAB-6769:1810sTS.Chicken.Cerebellum.17.Female
SAMEA4659316	ERR2576450	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/000/ERR2576450/ERR2576450.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/000/ERR2576450/ERR2576450.fastq.gz	E-MTAB-6769:1417sTS.Chicken.Testis.14.Male
SAMEA4659330	ERR2576464	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576464/ERR2576464.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576464/ERR2576464.fastq.gz	E-MTAB-6769:1423sTS.Chicken.Brain.17.Male
SAMEA4659318	ERR2576452	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576452/ERR2576452.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576452/ERR2576452.fastq.gz	E-MTAB-6769:1426sTS.Chicken.Brain.17.Female
SAMEA4659333	ERR2576467	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576467/ERR2576467.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576467/ERR2576467.fastq.gz	E-MTAB-6769:1621sTS.Chicken.Cerebellum.17.Male
SAMEA4659320	ERR2576454	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576454/ERR2576454.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576454/ERR2576454.fastq.gz	E-MTAB-6769:1483sTSm.Chicken.Cerebellum.17.Female
SAMEA4659341	ERR2576475	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576475/ERR2576475.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576475/ERR2576475.fastq.gz	E-MTAB-6769:1625sTS.Chicken.Testis.17.Male
SAMEA4659322	ERR2576456	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576456/ERR2576456.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576456/ERR2576456.fastq.gz	E-MTAB-6769:1630sTS.Chicken.Heart.17.Female
SAMEA4659344	ERR2576478	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576478/ERR2576478.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576478/ERR2576478.fastq.gz	E-MTAB-6769:1487sTS.Chicken.Cerebellum.0dph.Female
SAMEA4659329	ERR2576463	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576463/ERR2576463.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576463/ERR2576463.fastq.gz	E-MTAB-6769:1635sTS.Chicken.Ovary.17.Female
SAMEA4659349	ERR2576483	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/003/ERR2576483/ERR2576483.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/003/ERR2576483/ERR2576483.fastq.gz	E-MTAB-6769:1641sTS.Chicken.Kidney.0dph.Female
SAMEA4659332	ERR2576466	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576466/ERR2576466.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576466/ERR2576466.fastq.gz	E-MTAB-6769:1479sTS.Chicken.Cerebellum.17.Male
SAMEA4659350	ERR2576484	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576484/ERR2576484.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576484/ERR2576484.fastq.gz	E-MTAB-6769:1489sTSm.Chicken.Liver.0dph.Female
SAMEA4659335	ERR2576469	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/009/ERR2576469/ERR2576469.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/009/ERR2576469/ERR2576469.fastq.gz	E-MTAB-6769:1622sTS.Chicken.Heart.17.Male
SAMEA4659353	ERR2576487	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576487/ERR2576487.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576487/ERR2576487.fastq.gz	E-MTAB-6769:1643sTS.Chicken.Ovary.0dph.Female
SAMEA4659342	ERR2576476	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576476/ERR2576476.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576476/ERR2576476.fastq.gz	E-MTAB-6769:1429sTS.Chicken.Brain.0dph.Female
SAMEA4659357	ERR2576491	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/001/ERR2576491/ERR2576491.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/001/ERR2576491/ERR2576491.fastq.gz	E-MTAB-6769:1658sTS.Chicken.Cerebellum.0dph.Male
SAMEA4659343	ERR2576477	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/007/ERR2576477/ERR2576477.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/007/ERR2576477/ERR2576477.fastq.gz	E-MTAB-6769:1638sTS.Chicken.Brain.0dph.Female
SAMEA4659360	ERR2576494	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/004/ERR2576494/ERR2576494.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/004/ERR2576494/ERR2576494.fastq.gz	E-MTAB-6769:1542sTS.Chicken.Kidney.0dph.Male
SAMEA4659348	ERR2576482	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/002/ERR2576482/ERR2576482.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/002/ERR2576482/ERR2576482.fastq.gz	E-MTAB-6769:1488sTS.Chicken.Kidney.0dph.Female
SAMEA4659361	ERR2576495	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/005/ERR2576495/ERR2576495.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/005/ERR2576495/ERR2576495.fastq.gz	E-MTAB-6769:1660sTS.Chicken.Kidney.0dph.Male
SAMEA4659352	ERR2576486	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/006/ERR2576486/ERR2576486.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/006/ERR2576486/ERR2576486.fastq.gz	E-MTAB-6769:1430sTS.Chicken.Ovary.0dph.Female
SAMEA4659364	ERR2576498	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR257/008/ERR2576498/ERR2576498.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR257/008/ERR2576498/ERR2576498.fastq.gz	E-MTAB-6769:1544sTS.Chicken.Testis.0dph.Male
