"Supplementary Table 2: Description of the 1,893 libraries that comprise the mammalian evo-devo resource "														
														
library ID	Used library?	Species (strain)	Organ	Developmental stage	Sex	Sequencing runs (machine run lane)	Stage (detail)	Total number reads	Total number aligned reads	% aligned reads	Extraction protocol	RQN	RIN	HDBR ID
1546	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e14	Male	VADER 126 lane 8	e14	21837571	21017750	96%	QIAgen RNeasy QIAzol	9.3	NA	NA
1547	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e14	Male	OBIWAN 42 lane 6	e14	22271116	20641470	93%	QIAgen RNeasy QIAzol	9.4	NA	NA
1548	yes	Chicken (red junglefowl)	Heart	e14	Male	VADER 177 lane 7	e14	43313795	41538615	96%	QIAgen RNeasy QIAzol	9.5	NA	NA
1549	yes	Chicken (red junglefowl)	Kidney	e14	Male	OBIWAN 94 lane 2	e14	36447633	34834746	96%	QIAgen RNeasy QIAzol	9.2	NA	NA
1550	yes	Chicken (red junglefowl)	Liver	e14	Male	OBIWAN 44 lane 7	e14	27149927	25625126	94%	QIAgen RNeasy QIAzol	9.2	NA	NA
1612	yes	Chicken (red junglefowl)	Forebrain/Cerebrum	e14	Female	OBIWAN 47 lane 7	e14	21011454	20352018	97%	QIAgen RNeasy QIAzol	8.9	NA	NA
1613	yes	Chicken (red junglefowl)	Hindbrain/Cerebellum	e14	Female	OBIWAN 42 lane 7	e14	45059955	41828899	93%	QIAgen RNeasy QIAzol	9.1	NA	NA
1614	yes	Chicken (red junglefowl)	Heart	e14	Female	VADER 177 lane 7	e14	34625869	33319436	96%	QIAgen RNeasy QIAzol	8.6	NA	NA
1615	yes	Chicken (red junglefowl)	Kidney	e14	Female	OBIWAN 94 lane 2	e14	35040893	33331696	95%	QIAgen RNeasy QIAzol	9	NA	NA
1616	yes	Chicken (red junglefowl)	Liver	e14	Female	OBIWAN 133 lane 7	e14	27500284	26722806	97%	QIAgen RNeasy QIAzol	8.9	NA	NA
